Ex(m), Ey(m), Ez(m)
7.656826, -0.2794303, -0.01380157
9.602239, -0.2667048, -0.01317501
11.5734, -0.2343894, -0.01246357
13.44229, -0.1906558, -0.0105648
15.02595, -0.1460531, -0.00800705
16.2753, -0.1045752, -0.007325172
17.2327, -0.06694794, -0.007446289
17.85091, -0.04070818, -0.008283615
18.16203, -0.02400088, -0.008966446
18.22558, -0.01514018, -0.007428169
9
-0.00940133, 0.04750411, 0.003534317
0.002329324, 0.03055321, 0.01613426
0.07357556, 0.01653948, 0.01653767
0.2676919, 0.004560843, 0.01599789
0.663984, -0.01366116, 0.01654434
1.345701, -0.03255808, 0.01742649
2.286153, -0.04375428, 0.01790333
3.556817, -0.03980911, 0.01744938
5.129638, -0.02387202, 0.01535034
6.891607, -0.0127306, 0.01365471
8.668839, -0.006318331, 0.01380539
10.46018, 0.01060343, 0.01480103
12.25072, 0.1306496, 0.01555061
13.8681, 0.4650664, 0.01619816
15.33362, 1.100809, 0.01450157
2.044732, 0.4734249, 0.01174831
3.658277, -0.006148338, 0.01009083
5.452393, -0.1896705, 0.009273529
7.465827, -0.2041091, 0.01057529
9.499849, -0.168607, 0.01022243
11.4731, -0.1268854, 0.01023197
13.38292, -0.03471565, 0.009495735
15.19398, 0.2081463, 0.007642746
16.83969, 0.6772897, 0.005052567
1.287689, 0.6753044, 0.002394676
2.9735, 0.1368026, 0.00135231
4.698206, -0.1166055, 0.0009069443
6.562746, -0.1871028, 0.001793861
8.451969, -0.1745, 0.003767967
10.39513, -0.1408525, 0.00560379
12.25955, -0.0180316, 0.005868912
13.92976, 0.2926116, 0.005236626
15.4385, 0.8766036, 0.003377914
1.619917, 0.6439963, 0.001897812
3.160769, 0.09396911, 0.001749039
4.929815, -0.1746974, 0.001269341
6.774052, -0.2364726, 0.0008964539
8.626091, -0.2168267, 0.002077103
10.64351, -0.1667287, 0.00467968
12.49895, -0.01491022, 0.00507164
14.24372, 0.3511267, 0.004272461
15.79025, 0.978806, 0.002271652
1.928867, 0.4747619, -0.0004453659
3.593096, -0.01244824, -0.0009622574
5.350307, -0.2254634, -0.003344536
7.291281, -0.2814395, -0.004208565
9.231767, -0.2711045, -0.00322628
11.20826, -0.2370453, -0.002007484
13.07016, -0.1905707, -0.00289917
14.67998, -0.1419632, -0.002789497
16.01517, -0.09654796, -0.002301216
17.06326, -0.06134772, -0.0031147
17.75628, -0.03770924, -0.005237579
18.11418, -0.02384114, -0.006267548
18.21834, -0.0160743, -0.006773949
10
-0.009993103, 0.04229362, -0.02775002
-0.01205313, 0.02283082, 0.008299828
